,carat,cut,color,clarity,depth,table,length,width,height,price
42295,0.32,Very Good,H,VS2,63.0,57.0,4.33,4.37,2.74,505
19996,1.54,Very Good,I,VS2,62.0,58.0,7.38,7.43,4.59,8537
18943,1.21,Very Good,G,VS2,62.0,58.0,6.73,6.82,4.2,7787
31743,0.4,Ideal,D,SI1,62.1,56.0,4.7,4.74,2.93,772
15679,1.01,Good,F,VS2,61.7,58.0,6.3,6.34,3.9,6288
4873,1.02,Premium,H,SI2,60.8,58.0,6.48,6.45,3.93,3713
41283,0.43,Premium,E,VS1,62.3,58.0,4.82,4.78,2.99,1209
11665,1.14,Good,I,VS1,63.3,56.0,6.6,6.68,4.2,5056
13742,1.22,Ideal,H,SI2,61.7,56.0,6.93,6.87,4.26,5602
42750,0.51,Very Good,H,VS1,62.5,58.0,5.09,5.12,3.19,1343
30775,0.4,Ideal,G,SI1,62.3,54.0,4.74,4.77,2.96,741
46364,0.54,Ideal,G,VS1,62.2,56.0,5.23,5.19,3.24,1760
14719,0.3,Good,G,VS1,63.6,54.0,4.25,4.31,2.72,605
20671,1.64,Fair,E,SI2,63.1,60.0,7.58,7.5,4.75,8954
14424,1.01,Good,E,SI1,64.0,60.0,6.38,6.28,4.05,5823
41515,0.44,Ideal,D,VS1,61.6,56.0,4.85,4.92,3.01,1235
36250,0.41,Ideal,E,VS2,62.1,57.0,4.74,4.79,2.96,935
4027,1.11,Premium,J,SI1,59.5,58.0,6.89,6.77,4.07,3524
38147,0.3,Very Good,G,VVS1,63.2,58.0,4.25,4.23,2.68,1013
40152,0.35,Premium,E,VVS1,61.0,58.0,4.56,4.52,2.77,1116
12775,1.12,Premium,G,SI1,59.8,58.0,6.79,6.76,4.05,5329
19054,1.38,Very Good,H,SI1,63.2,56.0,7.08,7.03,4.46,7836
4721,0.3,Ideal,H,SI1,61.6,57.0,4.28,4.32,2.65,572
22093,1.51,Very Good,E,SI1,63.1,56.0,7.24,7.22,4.56,10113
29915,0.33,Ideal,G,VVS2,62.3,56.0,4.43,4.47,2.77,713
12541,1.5,Premium,J,SI2,62.6,56.0,7.24,7.11,4.51,5268
53520,0.72,Ideal,E,SI1,62.1,54.0,5.76,5.8,3.59,2688
5112,0.72,Ideal,F,VS1,61.5,56.0,5.74,5.77,3.53,3759
22652,1.53,Ideal,E,SI2,61.0,55.0,7.44,7.5,4.55,10698
44070,0.55,Ideal,E,SI1,60.7,57.0,5.27,5.3,3.21,1551
17828,1.31,Very Good,H,SI1,60.3,58.0,7.02,7.1,4.26,7189
28096,0.31,Ideal,F,SI1,62.9,57.0,4.34,4.31,2.72,663
1257,0.7,Ideal,H,VVS1,61.2,57.0,5.69,5.72,3.49,2947
134,0.77,Very Good,H,VS1,61.3,60.0,5.88,5.9,3.61,2765
48096,0.51,Ideal,G,VVS1,61.6,56.0,5.12,5.16,3.17,1933
39227,0.38,Premium,D,VS1,62.4,59.0,4.6,4.63,2.88,1067
44807,0.5,Premium,G,VS1,59.9,59.0,5.12,5.16,3.08,1624
35446,0.32,Ideal,E,VS2,61.7,55.0,4.42,4.36,2.71,900
49192,0.71,Very Good,H,SI1,61.2,56.0,5.69,5.72,3.49,2076
14443,1.27,Premium,H,VS2,58.9,61.0,7.09,7.03,4.16,5832
32858,0.4,Premium,H,VS1,62.6,58.0,4.68,4.71,2.94,807
51990,0.56,Ideal,G,IF,61.8,56.0,5.28,5.34,3.28,2442
20804,1.08,Ideal,G,IF,61.3,57.0,6.62,6.59,4.05,9035
31824,0.34,Ideal,G,VVS2,61.1,57.0,4.48,4.52,2.75,775
43310,0.51,Premium,F,VS2,60.7,59.0,5.16,5.19,3.14,1402
15481,1.07,Ideal,F,SI1,62.3,56.0,6.51,6.53,4.06,6200
7823,1.0,Premium,D,SI2,60.8,60.0,6.45,6.41,3.91,4295
50016,0.7,Very Good,F,SI1,62.4,56.0,5.64,5.7,3.54,2196
42235,0.54,Ideal,H,SI1,60.6,57.0,5.28,5.32,3.21,1291
33757,0.31,Ideal,G,IF,61.5,57.0,4.35,4.37,2.68,840
42489,0.31,Ideal,E,IF,61.0,57.0,4.36,4.39,2.67,1319
287,0.81,Very Good,E,SI1,60.3,60.0,6.07,6.1,3.67,2797
53819,0.71,Premium,E,VS2,62.5,60.0,5.7,5.66,3.55,2735
30647,0.4,Ideal,I,VS1,61.5,59.0,4.72,4.75,2.91,736
49484,0.7,Fair,I,VS2,64.7,60.0,5.55,5.49,3.57,2117
9142,1.12,Very Good,H,SI2,62.4,55.0,6.63,6.68,4.15,4538
43902,0.31,Ideal,I,VVS1,62.1,54.0,4.34,4.39,2.71,511
34468,0.41,Very Good,E,VS2,59.7,58.0,4.79,4.82,2.87,866
20954,1.61,Good,H,SI2,63.8,62.0,7.38,7.35,4.7,9169
50079,0.51,Ideal,F,VVS2,61.2,56.0,5.19,5.17,3.17,2203
16479,1.2,Premium,G,SI1,62.3,59.0,6.84,6.75,4.23,6586
32567,0.38,Premium,F,VS2,60.5,59.0,4.67,4.72,2.84,800
40954,0.42,Premium,D,VS1,60.8,60.0,4.84,4.87,2.95,1179
41560,0.56,Ideal,I,VS2,62.1,54.0,5.3,5.33,3.3,1237
49376,0.7,Premium,G,SI2,61.3,58.0,5.75,5.67,3.5,2100
50363,0.53,Ideal,G,IF,61.4,56.0,5.2,5.24,3.21,2247
34193,0.33,Premium,F,VS2,60.1,58.0,4.47,4.45,2.68,854
43272,0.3,Very Good,I,SI1,63.4,57.0,4.25,4.23,2.69,506
13084,1.04,Ideal,H,VS2,59.3,57.0,6.64,6.58,3.92,5416
28550,0.3,Premium,H,VS1,61.0,58.0,4.31,4.28,2.62,675
2002,0.74,Ideal,F,VVS2,61.5,54.0,5.84,5.86,3.6,3101
53527,0.76,Ideal,H,VVS2,61.8,57.0,5.84,5.91,3.63,2690
21592,1.63,Ideal,I,SI1,61.3,56.0,7.64,7.56,4.66,9694
49372,0.81,Ideal,J,SI2,62.2,57.0,5.95,5.92,3.69,2100
48522,0.54,Ideal,G,VVS2,61.0,56.0,5.25,5.3,3.22,1985
21411,1.13,Premium,G,IF,61.2,59.0,6.71,6.78,4.13,9525
35582,0.35,Premium,F,VS2,61.9,58.0,4.54,4.48,2.79,906
36613,0.32,Premium,G,SI1,62.5,58.0,4.4,4.43,2.76,477
32431,0.33,Ideal,E,VS2,62.5,55.0,4.46,4.41,2.77,792
5491,0.9,Very Good,F,SI1,62.8,56.0,6.11,6.15,3.85,3842
4276,0.76,Ideal,E,SI1,61.3,55.0,5.87,5.91,3.61,3584
9713,0.38,Very Good,E,SI2,62.5,61.0,4.59,4.63,2.88,590
1205,0.82,Ideal,E,SI2,62.1,56.0,6.01,5.98,3.72,2937
51382,0.71,Very Good,H,VS2,61.8,58.0,5.66,5.7,3.51,2368
36536,0.4,Premium,I,VS1,62.9,59.0,4.73,4.68,2.96,945
45539,0.51,Premium,F,VS2,61.0,58.0,5.17,5.1,3.13,1687
2362,0.9,Premium,G,SI2,61.9,61.0,6.13,6.06,3.77,3175
22704,0.34,Ideal,F,SI1,59.4,57.0,4.58,4.54,2.71,630
10137,1.0,Good,H,VS2,63.6,61.0,6.25,6.21,3.96,4722
18969,1.21,Ideal,G,VS2,62.0,56.0,6.87,6.77,4.23,7806
5260,1.19,Ideal,H,I1,60.3,57.0,6.83,6.93,4.15,3794
44280,0.53,Ideal,G,VS2,61.8,55.0,5.19,5.22,3.21,1577
13693,1.01,Premium,E,SI1,62.9,60.0,6.43,6.35,4.02,5599
11834,1.21,Premium,J,VS2,61.9,59.0,6.84,6.77,4.21,5096
52723,0.76,Very Good,H,SI1,61.4,57.0,5.89,5.94,3.63,2557
45621,0.55,Premium,D,SI1,61.0,58.0,5.27,5.29,3.22,1692
50384,0.52,Ideal,F,VVS1,59.8,59.0,5.21,5.25,3.13,2251
10128,1.06,Premium,F,SI2,62.5,58.0,6.54,6.41,4.05,4719
46265,0.54,Ideal,E,VS2,61.9,55.0,5.2,5.24,3.23,1754
418,0.3,Ideal,G,VS2,62.0,56.0,4.28,4.3,2.66,556
47206,0.5,Ideal,G,VVS2,62.1,55.0,5.05,5.09,3.15,1838
20156,1.03,Ideal,D,VS1,61.8,56.0,6.46,6.54,4.02,8612
36434,0.31,Ideal,D,VS2,61.5,56.0,4.37,4.35,2.68,942
33665,0.35,Very Good,E,VVS1,63.0,59.0,4.44,4.48,2.81,835
27858,0.3,Ideal,F,VS1,61.9,55.1,4.31,4.34,2.68,652
14547,1.06,Ideal,E,SI1,58.8,57.0,6.71,6.66,3.93,5877
6753,1.02,Premium,H,SI1,61.8,56.0,6.47,6.42,3.98,4102
8618,1.01,Very Good,E,SI2,62.0,60.0,6.36,6.41,3.96,4445
38326,0.5,Ideal,F,SI2,61.3,58.0,5.1,5.12,3.13,1020
2244,0.7,Good,E,VS1,61.2,58.0,5.66,5.72,3.48,3148
32688,0.31,Very Good,G,VS1,63.3,56.0,4.33,4.29,2.73,802
8965,1.03,Very Good,F,SI2,61.4,57.0,6.53,6.6,4.03,4503
51088,0.7,Very Good,H,VS2,60.0,57.0,5.74,5.8,3.46,2335
29506,0.32,Ideal,E,VS2,62.1,55.0,4.36,4.4,2.72,702
37342,0.31,Ideal,D,VVS2,62.4,56.0,4.38,4.34,2.72,982
4410,0.91,Good,G,SI2,63.6,56.0,6.14,6.09,3.89,3610
45565,0.52,Ideal,E,VS2,61.1,57.0,5.18,5.2,3.17,1689
14181,0.9,Very Good,G,IF,60.1,59.0,6.22,6.26,3.75,5754
8985,1.04,Very Good,F,SI2,63.1,60.0,6.42,6.35,4.03,4508
41962,0.23,Very Good,E,VVS2,61.6,57.0,3.95,3.97,2.44,505
15701,0.34,Ideal,G,SI1,62.7,57.0,4.51,4.48,2.82,607
8710,0.31,Ideal,G,VS1,62.3,54.0,4.31,4.33,2.69,586
16033,0.3,Premium,I,VS1,62.9,58.0,4.29,4.26,2.69,608
41791,0.41,Very Good,E,VVS1,62.9,58.0,4.72,4.75,2.98,1249
5083,0.9,Very Good,G,SI1,63.8,57.0,6.04,6.13,3.88,3752
48158,0.59,Very Good,G,VS1,62.5,53.0,5.46,5.35,3.38,1942
41573,0.52,Ideal,H,VS2,61.7,54.0,5.18,5.22,3.21,1238
20184,1.39,Premium,F,SI1,62.1,58.0,7.16,7.1,4.43,8631
12889,1.1,Ideal,H,SI1,62.0,57.0,6.66,6.7,4.14,5370
30232,0.33,Ideal,E,VS2,60.5,56.0,4.48,4.51,2.72,723
48382,0.7,Ideal,G,SI2,61.8,56.0,5.66,5.6,3.48,1966
23736,1.68,Ideal,E,SI2,60.4,55.0,7.7,7.79,4.68,11781
35781,0.32,Ideal,F,VVS1,61.4,56.0,4.4,4.43,2.71,912
19,0.3,Very Good,J,SI1,62.7,59.0,4.21,4.27,2.66,351
52866,0.76,Premium,E,SI2,60.8,57.0,5.89,5.85,3.57,2580
44692,0.51,Very Good,E,VS2,62.8,56.0,5.11,5.14,3.22,1612
14997,1.35,Very Good,I,SI2,61.0,60.0,7.09,7.15,4.34,6041
